Compound,n101.cdf.csv,n102.cdf.csv,n104.cdf.csv,n105.CDF.csv,n109.cdf.csv,n111.CDF.csv,n113.cdf.csv,n116.cdf.csv,n117.cdf.csv,n118.cdf.csv,n120.cdf.csv,n121.cdf.csv,n125.cdf.csv,n135.CDF.csv,n14.cdf.csv,n145.cdf.csv,n146.cdf.csv,n151.CDF.csv,n152.CDF.csv,n154.cdf.csv,n160.CDF.csv,n162.cdf.csv,n166.CDF.csv,n168.CDF.csv,n173.CDF.csv,n178.cdf.csv,n183.CDF.csv,n186-2.CDF.csv,n188.CDF.csv,n198.CDF.csv,n199.CDF.csv,n212.CDF.csv,n214.cdf.csv,n216.cdf.csv,n222.CDF.csv,n224.CDF.csv,n229.CDF.csv,n268.cdf.csv,n269.CDF.csv,n270.CDF.csv,n274.cdf.csv,n279.CDF.csv,n31.cdf.csv,n34.cdf.csv,n41.cdf.csv,n49.cdf.csv,n50.cdf.csv,n54.cdf.csv,n55.cdf.csv,n6.cdf.csv,n64.cdf.csv,n67.cdf.csv,n72.cdf.csv,n74.cdf.csv,n80.cdf.csv,n81.cdf.csv,n84.CDF.csv,n86.cdf.csv,n9.cdf.csv,n92.cdf.csv,n97.cdf.csv,x100.cdf.csv,x105.CDF.csv,x106.CDF.csv,x111.CDF.csv,x128-2.CDF.csv,x13.CDF.csv,x133.cdf.csv,x137.CDF.csv,x138.CDF.csv,x14.cdf.csv,x142.CDF.csv,x143.CDF.csv,x146.cdf.csv,x148.CDF.csv,x15.cdf.csv,x150.cdf.csv,x152.cdf.csv,x153.CDF.csv,x157.cdf.csv,x159.CDF.csv,x17.CDF.csv,x171.cdf.csv,x175.cdf.csv,x177.CDF.csv,x18.CDF.csv,x185.cdf.csv,x186.cdf.csv,x187.cdf.csv,x188.CDF.csv,x189.CDF.csv,x190.CDF.csv,x194.cdf.csv,x195.cdf.csv,x196.cdf.csv,x20.CDF.csv,x21.CDF.csv,x210.CDF.csv,x222.cdf.csv,x226.cdf.csv,x227.cdf.csv,x26.cdf.csv,x27.cdf.csv,x35.cdf.csv,x36.CDF.csv,x38.CDF.csv,x40.CDF.csv,x41.cdf.csv,x43.CDF.csv,x44.CDF.csv,x45.CDF.csv,x47.cdf.csv,x49.CDF.csv,x56.CDF.csv,x57.cdf.csv,x59.cdf.csv,x60.cdf.csv,x67.cdf.csv,x68.CDF.csv,x71.cdf.csv,x73.CDF.csv,x82.cdf.csv,x84.cdf.csv,x85.CDF.csv,x86.cdf.csv,x88.cdf.csv,x89.cdf.csv,x90.cdf.csv,x91.CDF.csv,x92.CDF.csv,x93.cdf.csv,x95.cdf.csv,x96.cdf.csv,x97.cdf.csv,x98.CDF.csv,x99.CDF.csv
Fumarate,915982.0227468646,989881.6165468264,419835.259094904,18532.816532156503,835286.6080755655,525047.7726687331,934532.6132093469,419848.52719129587,756903.3082360192,714320.3044137489,852144.3165646861,381320.53366917494,1021897.7787312748,2144646.5273707835,723817.4244690438,965597.0165907007,829808.5536840716,424199.45200670615,629686.215528768,488719.1243433369,902440.299162101,575698.6220652121,722737.263651618,760448.7886505079,732451.4995292305,1994608.4469192442,692352.9444771517,911222.2980197476,673169.2028987979,619195.0550424973,926008.0576513722,509949.9693628184,764767.0878265274,298493.0727941608,686691.8689493244,645678.2160269595,734341.2179126388,673136.4181900066,671253.5250025274,642437.4264295734,711464.884350582,715795.3937189121,729919.6593869672,531674.971613843,825636.5639807158,883815.5066049902,805228.7901479036,824546.4799210771,774608.4771890357,520505.9559184407,1742816.0388570896,766208.9085005355,716450.2278080792,728779.9210228951,780884.112053873,2178098.456151762,444082.78335990245,493908.7636324284,1001520.1912644611,1119204.6269056597,836778.5623404183,773229.8001209848,764079.032441048,568635.8733810871,684995.5759938371,617948.1916005996,739182.9223994765,779302.3270632399,689966.5090290054,752462.336166528,1057936.1258409272,865864.0147270092,619145.8716794407,698136.8241309073,823868.1372640727,727144.4529263631,743049.0728730498,1132270.4083362943,625136.5073708105,715974.2381373434,509303.39767784486,877096.4316206627,765001.8740848551,632987.6650848631,702267.3361884467,242913.42354641474,857565.1412097812,370223.09487614303,520404.57311130426,701190.6280236738,894593.64517736,502768.647732175,448260.28278510313,853436.8588884752,978246.3598892979,849139.5620954523,741943.1017741112,1172917.187862242,485229.78599846555,666060.199118166,722386.4802037284,682791.1774685371,794718.4885728119,208855.80216914444,554267.0299188145,522735.56131675956,702591.144073338,900937.4851528177,663123.9115323077,656916.8766724763,525134.4707824527,222541.7108102496,637896.6629567385,723762.8335499903,688075.8821826959,786533.687148578,889943.9932584559,750999.4837038312,430867.29136304883,967787.2279217496,939034.7335209942,537219.8279013177,1743013.6420640217,862343.4928645438,1012771.0961393738,745385.5997985483,859542.4792226506,620701.4370523776,843145.4788941367,857533.5195626873,1137345.8413059518,784695.0217828786,772170.703158782,1025756.7766217014,690874.0145555672,706985.3831654879
Serine,2134313.011605501,1974753.83888024,1418499.6874360042,2460823.520864073,1611142.5441072076,1569026.417536843,205979.25619882694,2359892.473495855,1778842.2141852153,1785228.430453856,1889399.5182506056,1780486.9241257107,1992090.667695363,2144646.5273707835,2634441.3343101833,25972.64186335133,2222344.9776005223,2430928.543267915,1978114.8776257439,2398272.7724125246,186209.08342195727,518743.782824141,2133542.116675927,2123128.1740407296,2440297.762962575,1994608.4469192442,1577400.686318761,2076318.610897291,2096616.0199898493,2410827.835793963,2972672.300702688,2092113.460921396,129416.17881341433,1905131.8751484647,2200020.4240303286,1865278.3650388308,2616692.3288226603,1635440.04881625,1373442.0331536676,2628702.892451443,1819330.872631048,2326393.1343774004,2017653.8555236699,1275216.4300287059,1113056.8024593075,1747810.2867679275,1937869.0939775147,102435.84758114637,1858480.7748399046,1180395.658878082,1742816.0388570896,963116.0843947888,2019702.9628241905,664780.9487159981,1864978.14000734,2178098.456151762,2702111.1195290936,2996240.759051576,586720.3165769454,2253670.398701976,501695.09305732214,2110644.072276596,2102136.7677234844,2399430.3564808965,140440.52916752762,2554446.0140429945,1801364.6306611057,1854104.8063665947,2015366.7563522086,2001604.5434982248,1721263.0363000126,790565.1185767271,1904642.973913862,702937.7503188138,1843322.3532542335,2182070.0442157825,1340708.665969295,2107047.968997254,2084163.5907746274,2180735.1918651937,1371132.7997515984,1827576.6780912247,1578585.2317178487,133998.43221739004,2281377.070101182,17235.135694784858,1967171.311615972,1869320.9075096566,1609888.6310628182,1788834.2233113842,1440782.4638412618,1670619.9573138615,1071972.612350888,260182.30279730493,2480378.783071802,1813883.832282168,1610123.6575570535,1258556.2109172698,2522141.2418996706,1804430.2155719637,460412.4384249466,1900237.8957012338,1834392.6799227833,1431926.0566638587,2293992.8007177706,1686502.9879754023,1307970.9786512582,1833356.341698738,1607110.0787758525,2221285.821263621,1477065.7139889363,793664.1114100077,1630327.0665915655,2146834.4664326143,2008585.367082194,2288466.375344892,1834145.6643945752,1925955.1004996384,2048918.198540378,1945461.8097762817,1700132.1843752451,1329337.052501839,1743013.6420640217,1866681.94138921,1751955.0868558986,1745550.9375482441,2090439.3701776937,1810113.9818504266,1876175.5589019083,2556469.827272557,2208293.6315517644,1657569.0910905688,1922383.5866011265,2302886.6175298663,1630584.3117644396,1582775.8593718307
Threonine,2750004.8606477445,2631377.571989869,3055362.087859132,2941847.3190806382,2042051.1034660235,2006388.578861026,2622244.8559788503,3155079.3506926047,2601765.1911411514,2253036.2104132986,2515486.9004435535,2718042.442125239,2537093.9981014347,2477579.7760592424,3383096.049881631,2437047.9967603167,2621534.917533233,3026148.1879677246,2440043.333476032,3054049.462855099,2484467.3471660903,1822447.5706608903,3021465.8617810532,2907170.1638324354,2968188.1521457676,2632969.445642802,2886338.0996555006,2370853.3084568973,2889950.1600946225,2855691.189038419,2915644.435350907,2515475.1783492686,2589599.6584931873,2141777.3747186917,2945264.550128454,2444821.2552739847,2822253.3101207237,2484201.003315336,1935577.5446426258,3682265.2463823752,2300988.34277994,2284858.2078023804,3062537.303791706,2154250.7655988825,3171287.4790063435,3114475.9564871355,2430193.6015187856,2095410.8351796875,2757820.7679128065,2838782.2112865252,2267991.5927173197,2728616.4141339804,2444071.3478503535,3019746.175823817,2387392.7676707394,3189250.55472088,3721073.709070583,4634430.071473566,3106550.7039260203,2557537.995023317,2622662.888181707,2740206.4175889296,2483183.655621409,2751766.4670277387,2471942.3966890387,1727311.425601791,2356924.697602103,3704388.021713758,2750750.713046792,2215506.123338199,2483335.5925048566,2437192.188876491,2852514.592815538,1918299.0569516742,2647174.141290029,3521579.203647751,1685135.442894273,3145952.0997029413,3810012.035671494,2548747.43856912,1722573.9841552572,2184461.5775804357,2411949.3934706347,2175921.9950074456,2855350.721776522,2395485.6273754872,2311181.221319544,2324239.525806098,2946956.8841002127,2176249.9363955865,2662609.166711724,2007910.6420512516,2175271.2689081174,2279559.4966190737,3269891.7823776198,3371295.615898962,2418701.2211965234,1706178.7180573696,2909895.0620681616,2761120.5117511475,2186471.2351152236,2941837.2065875065,2633401.21463589,2298891.690106781,2638785.3291204623,1891139.355655234,2756619.2756162,2344041.57840167,2085735.0521223804,2881160.9320675004,1978141.4914512958,1050478.2042069007,2447572.1281745806,2617866.7741303714,2055914.7123556158,2387734.2243300662,2896970.9127835343,2463757.235549962,2925402.7198131527,2875517.3010297855,2188996.816628823,1205061.406626641,3213807.657728868,2308357.2603094513,2492542.4089362645,2579811.074964991,2889305.9085361087,2368301.8953182595,3124448.0115881483,2889041.5303805065,2848214.270657823,2167077.5839558556,3228791.3303951034,2617697.446186784,2426743.989104746,2550372.635414312
Aminomalonic acid,676896.0786023588,773056.8847294736,683412.9883453122,597326.1222283806,492964.7328904725,523273.32518185384,631833.1997975677,458885.7919263788,416917.31016863324,501733.9339272972,510029.74339175294,671958.5263321131,597371.5488581695,609035.9841267541,158416.01995666506,595618.0468848286,575127.4514879375,735190.4156743593,512060.9565584848,481726.05581051466,583213.3820670211,545448.9912639547,560313.6717694799,597157.0223531242,700229.8933927878,438333.6242486067,613492.0312475667,621380.6504541876,429813.36614697246,508847.4707815122,403304.1144031355,545888.1385608225,709441.4759192051,899519.1278611922,845281.0091663655,425627.42100273696,571430.1720984683,912121.2793535129,535239.59812721,1330674.9328603365,736392.5138393318,752002.3813212696,365082.1799788407,795392.7050167364,467459.0320083965,601556.0028329466,802132.9763017093,588255.3809559536,622100.0081608607,796051.0493267137,620353.2801885438,808020.2539005692,727605.906379071,736084.4447008055,526587.9181375526,747913.0359602091,598491.4371611546,570482.42016576,839589.8567245237,363607.8934357428,499637.87989961205,555543.9368086684,537960.3359962046,354582.4675801058,629848.837529876,509465.67510475125,609109.6512710529,409067.44997967896,442142.68422357296,599773.459204001,420961.9449591709,398957.158124517,361940.7599426225,606508.7678534207,399863.9184151769,587149.3088071384,398212.4828493318,659945.5698454826,458128.41376650636,460675.5005227481,242557.87491267285,626480.9989502962,474601.92412383505,837621.4443992183,194884.87385612988,553139.3394573699,534458.9756776133,581517.9825518215,503152.9902676366,485647.4319597408,661726.2264293605,1416571.488752371,570390.9041793577,505282.05661785655,664205.8820198253,611583.7304504304,552679.0226105504,307528.6448964107,716148.0784780195,465540.27490008296,577576.3576417764,529070.692873146,931743.741764477,469978.16001986765,400186.6715531488,363691.43847584125,752927.017508061,333586.12902695197,428084.9682219996,489800.03863472136,625899.9503383512,460814.0202712923,666711.3469518009,498988.24611296225,612266.1788164094,509289.9885914466,134451.17586508425,288015.8867664119,528673.6607046013,734178.6771758378,509228.044020545,466776.4751853638,559379.1585154698,979481.5689467846,469357.400387928,571474.8374056643,587851.9632091122,718389.4032443633,724274.0523151925,699065.4156729323,359934.1463916142,661119.7346651217,472080.56020523293,534170.5825239246,441303.71473402035,316609.1369700138
Pyroglutamic acid,6199624.752437325,6370673.471181214,7600127.917229336,7553700.136121435,6351712.86484666,5013798.291690484,6012360.553251689,6865945.72296714,5657603.868951353,6359008.48003063,6196589.8155495245,5216902.3827523235,5848413.97592501,5655271.356216998,6654266.712705992,6132758.7527866205,5824057.109876919,6972601.634513071,7082185.474326334,7588667.516266389,6961669.959375184,5191693.933222402,7383986.403540992,5177358.176550495,6437876.289769193,3172391.605747197,5202432.83969962,5563265.940294639,6530584.361119243,6878509.492901302,6051660.317078231,5747301.360313915,5446706.627448708,6043793.917176288,7169189.116282099,4931669.744870726,6877258.009711063,5411798.631370399,4452121.414647703,2445281.9599488527,5198024.556710387,6419467.161367999,7117097.643235277,5561464.383393542,6236619.3681920115,7325350.259233035,5919935.48293803,5215647.999482626,6015281.011771524,5933723.91954255,5617905.176042055,6116987.285347822,5966362.2985883895,7468999.046165677,5936761.990764375,6079994.185587408,7605214.265856832,8617133.38373278,6339690.112881193,6276061.7614950985,6971052.473709609,6010395.068197625,1981587.4085342214,5184092.435198917,5430321.093362514,6397065.334043635,1430858.3241245584,7133156.371236535,5302794.832174999,5096583.861827092,2569676.6401518825,5123151.889362985,4750225.366820863,4593488.745085338,6211323.520862785,6286541.7113812445,3211101.8367029484,5717973.58453089,5347423.295783856,5384525.858337269,4401020.165422264,5982060.289107901,5409134.480403915,4700441.717783906,6519132.572853532,5270939.632665072,5702226.881679654,6499410.307436707,6105469.259639621,5869749.321700544,6094272.29129245,6132243.043243267,6093589.544905428,6997431.554054161,5795327.223739759,4800555.953485118,5301359.613625227,4646017.377711353,6842029.083180916,5465275.662104388,7019804.42374033,5341451.537405385,5350036.486762962,4198204.268766142,6088122.583102548,5003532.392211049,6449679.646744978,4517881.794412611,4556593.842146978,6212759.457847629,4028978.0819448596,2408074.7460360685,4791391.972387237,5539033.771836564,4218325.78017473,5316125.822251497,6201198.346323872,5061243.286240754,5966005.391107201,5475471.868925807,5575981.289702464,3383746.92865338,5477478.678848777,6133682.912570378,5368184.521714937,5657779.1917748405,5862207.10751747,4736947.9524193555,5080891.573269615,5650041.4351520715,6261209.385971706,3912518.401793756,5509137.29699632,5833035.647291839,5715937.275592848,6222876.948989836
"2,3,4-Trihydroxybutyric acid",948269.0078755149,1058928.2556481184,643541.6941705354,726786.7116593459,768345.7128916545,644444.7854756087,760879.025411648,218112.2577765805,911978.3985464065,790295.9248213258,800958.9816719696,728015.294435392,1086835.6214977922,952167.0759395263,1190095.3100435366,756469.997109963,552486.2669505769,1211779.1688636048,727476.938089788,944679.3837136372,647228.0521114112,284669.6756543846,694197.0839607117,736341.4718586246,585696.2503469831,792603.1010432595,682478.5346240945,520558.09433404193,881616.6395833787,757259.2364321634,1017558.4866356435,652369.4009338252,1137294.4888212476,842786.6642025235,846562.7931434839,550640.9605212915,615610.8890277091,928909.8108032036,658488.4845297527,1034607.4229874446,673256.7459778961,792977.888348052,723042.8712331213,1177033.5055609413,1102138.265887396,690112.1440535851,828461.7501249025,866360.8264851252,872409.9351326069,943174.1378144295,957375.7183809066,813642.9354024306,634696.63055621,991603.5744524836,664840.5698285737,590837.3298480695,820471.495394167,1145179.5738929035,1191784.035368625,931094.8723015444,903867.1582353697,787602.5491030228,770543.3989927634,786388.4549290028,686806.381370188,950287.7277981119,221920.54020759303,736201.211372752,327050.9006518799,792678.8217641586,1188834.071766686,481772.3663185892,753752.0866439982,870247.0817138847,598641.7146941234,710494.2299370681,467091.34755685774,878236.791801613,761024.8074866035,575644.5825406922,748992.7032618709,832286.5494046351,326766.0962271796,907430.4582165792,922153.4084113489,963583.1006036433,611359.2786566296,926539.5502235137,681627.632213224,241888.79490037874,668294.0576293761,254188.39603439637,929455.2974634137,663918.6528969763,852674.1998329789,456168.767183547,469354.5362079614,691373.7368543632,520870.8012770271,578693.7728921166,595150.9218772228,784348.0699952594,964750.1018728715,628742.8388576282,664100.2785443164,163811.8823095449,1000821.3696907781,731971.6819356193,841603.5422136857,795025.4296129814,540602.8934480387,195982.5934490391,958599.9990700558,668725.3318579998,618884.441953149,604437.3333583891,627683.7737111674,917156.1026686099,561138.9266933309,738106.0037482518,1244443.8818654292,601930.4098771192,915224.124112902,996717.5954817398,527137.976049254,504195.6539550724,1103928.244564964,724354.9234565953,812449.4143872736,620378.5379631729,1188011.7114079266,693269.64623276,606460.4316401214,869256.4299451284,862163.6795612787,765153.9101173145
Citrulline,1095632.8313219124,936918.003055987,1352031.00881242,1354126.097313689,945959.5924962594,1381497.6528892524,938222.874946208,1361398.2425830406,1251223.9228717324,1318970.2317264217,1488333.0348592573,1415679.6217147228,1230731.4885745512,1374082.9998553705,1407444.9409021027,908678.4159296682,1424612.2610531142,1289486.984058821,1346357.054303142,1227985.2238137769,1053859.442327454,965810.8717897616,1761445.4692902577,1109370.893724095,1421214.1692826836,1234923.7347962013,1259836.4153759493,550369.8637700058,1055931.94938527,1370346.8931028284,1475225.1857111452,1067458.089208045,924878.5509757223,607449.315150236,1094968.9212271224,1295005.1675208898,1018302.6315693466,804572.2183566869,840771.8548187348,495267.10177572025,831382.7199788925,1115552.4385471381,1031436.6839097333,565931.1242530339,895017.8399047873,1083638.4447049997,1151183.6076803561,892098.9050684064,1104624.7368388122,814037.9116373098,1307095.8366324888,1107891.7928066263,827729.2289879259,1068972.000380932,968357.1064792313,1055891.6299347407,1550009.478064597,1917023.737633425,1491051.9876796196,1106802.2042492612,963722.414134202,1415816.3837353983,1006790.1716422727,1145718.7874278054,1403925.5039610392,799697.2554774737,1123699.7562890546,1297859.9648574437,1171827.1887789045,1324983.6746680038,781252.4478894933,934919.6459968718,1182286.195611311,650977.9634532593,1544909.9246061859,827321.004004743,517985.3892130057,1391901.2378014894,1614331.2706133283,1365475.4153765745,251719.17957348158,1136569.7944691023,1234533.511127641,450903.71920259733,1351514.9817615056,908105.9971908161,1246023.5652234808,842388.4665315117,797525.6139783645,1170526.4687425871,606949.1904876435,400705.522929451,957244.8815820934,897648.2474403826,1280550.6802950273,1158293.2522920729,1163023.5113392072,930540.2326838842,2886343.1013681223,505974.856391859,1174274.3221532116,554836.2013706814,899221.050587313,700452.1458332315,1142048.8903406658,1910663.7052185312,1362677.995148087,916306.0691437126,929318.7023120929,1628799.4870580223,1095364.3521679018,374859.0465919722,1089716.738186946,976402.2731022243,826141.4332608783,918800.8865764829,889178.6746639382,1159273.402006512,1100382.966581502,1462519.3944929014,592287.663647243,481661.5717624405,1631912.2060507848,620975.3818794905,1352946.5878300965,797821.7062929282,768151.9823612161,649305.8973143706,1087714.505419865,1118748.4393544223,1483058.3952433986,1089867.080233911,1532095.7178296251,815032.9530036384,1129388.795387905,1668477.4017213697
Glutamate,822770.6002171999,936918.003055987,834376.8662413233,1087914.6374159092,899226.9272780842,1199534.4410399855,759290.4847268807,1399687.0444863273,1425400.2206978402,1160882.4966006125,1104123.5386667799,2064653.5809486266,835675.1206145287,1139293.033472507,751319.7553056607,1117651.7978958732,1384903.054886891,1182326.626141834,1546296.4538121112,758716.3891347281,1080248.8112549921,1932476.5809098694,759250.7435601484,692875.9398902229,832458.5508955114,700206.8762013459,780030.5286136485,614367.1856732927,1151254.0379111564,1278026.4200998617,1243037.160222758,585999.3835430748,1002370.5316867782,581306.2286042552,1037047.8420375908,1331804.2529852993,1109217.483574389,791042.786375932,784844.9930398397,831020.534444829,756925.8315498144,799216.2365081165,896673.799984086,571562.4048891582,766106.6723846196,1018944.5583077455,1333588.7529287722,1100057.529625734,968339.2037892803,927950.0737068955,942644.9819571978,907340.9535615866,993485.419287009,1042827.9033882925,1207147.987832003,948846.8046580623,887342.4771012117,1742015.7494931603,881079.3104985505,1188756.4690189073,1327803.3048174155,872703.1180744919,686365.8669035741,615623.1898334335,969743.1075912528,922426.9529203404,752500.8106422615,1422455.814877781,1043267.4527756022,730072.2369234188,994434.3384163057,1206139.3026080246,1342764.4760066215,644161.171996371,1272623.516760598,748509.5003258598,919425.170871433,721323.4704611426,839565.2121085403,1357080.8502763503,832000.2061495082,1082910.569485381,612143.3075428804,1184066.379896863,533011.3252321942,908105.9971908161,942572.5312853712,760736.35172877,797525.6139783645,988456.2728598542,728182.7948153496,1136316.2632909594,1432915.6665261856,670653.61289083,1579231.843665799,756178.3599577735,693222.2064284044,846566.659768359,968386.1019202974,661026.05681053,1378854.7502795751,710530.4647908336,1256566.50858442,688134.22660443,858223.3758407972,893720.2409163413,815485.4597930942,575367.8383385988,976378.5987883743,1119764.5071338248,740699.6642646922,374859.0465919722,1307016.8223287526,739053.6968610956,694887.3279217416,677698.6062190536,907455.5038783618,1116036.8269597362,746017.3655811314,676101.40627543,876246.3832097257,371657.2261710285,945783.7408099985,620975.3818794905,1219914.8560155276,540962.8685685955,651314.6095402421,597915.8320676022,643283.5430370704,775198.4651427502,825081.4048529472,17777.666250635535,923820.3334386005,641071.3266351387,683180.0223094727,787111.6645192505
Phenylalanine,1172251.9770509084,1036471.0656096855,1149843.5771604148,1194079.9414220594,852320.3266654003,989847.2535403853,1013048.5000585642,1271314.6649112534,1347406.8342337576,992665.856727503,1192326.6300372574,1243026.2934243982,1249820.3699168405,1010307.1043507137,1343300.9990432658,982834.7546960155,1040855.6136217687,1136425.7015426261,1318710.1826528301,1194235.4878152472,1019613.9192937596,934215.9521772858,1062902.7612101012,1006475.0421105168,898499.418973804,1044690.6111687241,1157150.6020237256,876218.0527384866,1095636.891372179,987769.7524775874,1138963.8517057681,794560.9226244536,872850.7408043459,803607.8315565835,949989.3352182577,1200975.3532993468,1014868.2641654949,1019479.3174612853,821767.9123883771,1059327.443227504,1126670.250000815,911965.5846461949,1031020.8180489619,761774.3464125007,1105700.3179039578,1221520.685441683,1428104.8339586828,1026719.0665938577,952355.0120327054,1005418.6756660317,1045170.6264971605,1050060.7989722434,996045.3819261084,1143236.3987931595,1194222.7445817096,1170563.8267696213,1163284.1183139565,1552300.657037402,1272167.8652029354,1233985.471513383,1193687.3520175577,1052290.0683453516,1064735.4810781186,934830.2239208748,986619.3432561519,887410.233772504,920092.8762704238,1522718.651381375,1103176.7009406562,997938.7650994125,1088885.5680158958,1152121.4328211779,1117439.030294221,881362.9342023716,1322200.7586082502,1003045.9016118124,1130944.1344963138,1291439.4441034927,1070000.1597271333,1021911.6722573409,750586.0875586978,1336900.9369157602,1203027.7781486588,903953.5025516883,1266500.5966512181,982972.3280355277,1316735.450632833,906798.6708184287,1328905.737041466,957316.0266743775,1014231.1534822606,677145.3790343235,1160795.5402801868,1154685.1842114145,1180730.3373449198,1254638.379819001,1117158.6608404312,1136444.281100285,878455.0812511896,813499.8304571003,1097926.145562076,872981.5342102586,1122994.7685556714,779494.1074564882,1053734.2814122324,871679.799958055,1212749.066906901,861699.3579890153,1023298.0668458398,1198563.5118013972,845829.9785498041,653366.6042150025,1169152.4592293252,973330.9102375712,1125734.0873804244,849913.194905732,1176645.6334733984,1045549.6192053144,1034949.3755418696,1047840.0752044277,1009983.8351981698,805088.7454187286,1269063.3917822745,995535.1827750668,1206593.3228129023,848404.3605432978,895477.6827716514,775971.9856185812,1110371.919990464,1214257.006678253,1247536.3427055343,1260148.2464532654,1201623.0062759302,1214276.8496177013,1071014.4304121705,1323772.44103814
Ribitol,400558.6966972127,312383.71775661386,358481.0031281174,431934.5608653258,375724.519358375,347477.0495741877,291038.3566441766,389406.42223922606,343556.628741697,414176.0378648086,417236.79309220985,367511.79532135633,448535.7811471261,1630980.7504713333,401916.61242042476,1764031.2862687353,1583996.5182654113,2019007.3017086592,1690160.2880491803,476521.61198430264,481690.3822204124,351030.50548389833,321247.81360591314,329905.000852755,1849200.7946498403,347265.6491391469,546232.6391879946,625604.2091102843,368005.0082203533,1296735.4854655415,1228809.7132258597,368227.7889836106,422185.56157154473,284139.73100222205,1342631.1887896738,1287928.5205576234,125109.33171560636,529242.0294843233,357100.1329403479,455699.57492401614,302762.82076907926,541431.8788217863,383706.87319244316,305395.18883559364,380150.1947132883,305976.4270658812,374533.1515082395,254580.80255800282,303795.44500429387,340079.11335241806,298713.7984593308,467021.53449432156,328105.7093545848,386025.3711667249,602796.5681536646,326319.43419332214,450025.76872099313,372579.60521665926,727590.3947602746,408603.3159291562,352359.8364715423,432156.43340331933,337634.6613116587,298579.4652645863,357380.4158649673,384784.96515543846,295107.62766923825,466922.7401384718,369139.88368392026,331288.24924355815,318123.90523894754,284350.08931419195,326638.40176938067,320874.17693369096,371447.516189702,426071.2649605735,238113.18442830548,364294.89981203526,263177.98578943,331971.32473511074,333646.6012197399,552989.9436363061,451747.56355280447,482646.88452764996,381621.0301825479,323279.9356362257,446468.00475333177,340015.9712968392,394811.1443098646,263638.86727071065,789573.613744542,329903.3705016145,334739.67728291947,299043.0909165022,544016.8232550521,33213.18963749834,407664.1699396804,457443.4133811389,398952.4476839466,316765.599774008,339133.951927101,428140.0683705022,912902.0365915045,279311.59649135673,363236.5949531574,324360.70045368344,466978.0771681416,203692.05862027992,331400.173345117,387932.27216230426,297161.8359357761,212240.16388241082,352896.97817994235,329536.1213883776,240073.5338449837,373001.74536111683,344445.96675250935,328452.892766446,372897.45550616924,391875.83241008833,313145.67169508967,211661.2281967237,317966.58593583136,397222.470081715,287984.5733270274,212623.5954949558,205872.70570694105,302533.46270054096,322093.28642396454,314254.8371568221,324338.00856610225,308896.54488173244,382480.11281964,371876.82115235215,335212.2307616606,352314.6511087545
Lysine,1202409.6055812775,1131174.4065928124,1359063.858500883,1531620.0119078676,1180746.471802887,1183540.8254003783,1113520.7204580144,1853072.173574197,1677989.8480477715,1420175.3524816756,1269191.2163646552,1672823.256031221,1758563.1564045378,1760420.0341757059,1240134.7468437476,1429034.033817703,1234241.934965807,1747131.0440218828,1435386.681696143,1081346.7455869634,1271026.8318160728,966508.4893632887,1597773.4387983321,1023853.8733465387,1457506.8480389041,1439552.140147305,1808972.5351633402,514012.79652277136,1129420.2223701654,1755618.7554099234,1613079.1577433283,1210727.721431335,1207732.6164568183,587546.0514053629,1106578.5815366665,1346147.9613575235,1174344.905010494,995548.4166583535,1057946.984499259,334600.3843464972,1005186.8482091511,1164275.5548223578,862813.6290629284,844751.6241087705,1079503.4461084085,1541676.4919693526,1386835.9060037504,1340735.4047760717,1370478.7959640196,1115830.8750889867,1736911.0212320904,1489313.0513593368,908553.5504850646,1470415.8033464048,1160916.2037335122,1458701.799906398,1494926.5258129404,1969648.1970079753,1871067.115718408,1174316.8803537677,687200.2555925085,1796830.968824225,1252142.9423292843,92375.32684247811,1645765.213078151,816368.6151145155,961013.549757896,1814502.719735378,1626845.5432458497,818883.1365819611,1186235.7808834517,782824.1722316759,1510794.3684122982,617341.0362182045,1748548.163794749,824394.1838407754,757675.1022991302,2471921.665681131,1450730.7627605493,1589096.3366139238,567267.3429578841,1091758.9625747262,1673137.1209643625,876559.2651259576,2097887.6433871267,939648.8821361475,1041635.272754427,1333129.177345015,1532942.8133098956,963839.3329788818,732380.1479872741,284801.0713128219,1296724.2118023147,1361516.2066535365,1417707.9854288616,1228762.7531417217,1459265.9394771021,821024.2192092057,1236591.452349103,721702.3975910825,1238867.0292916468,741430.4977615922,1034970.665970929,901657.5991890066,1102048.6928628609,1037051.3126517842,1618064.1358408183,1312347.372041259,1059051.7734425457,2098220.7509290874,1192867.348385948,302477.87143168214,1482261.361130144,1284298.9078525682,891984.3824281786,1370921.0565737903,1416025.460394723,1353804.9901562699,1424693.8248823192,1577039.3382469285,622245.9582235989,551688.2824552286,1916705.6600642072,164825.982834563,1480312.843295834,1065307.331135334,1002507.8704891307,627345.4870038936,1272807.2553540745,1256197.8761036475,1899839.4241048112,1358872.6796960458,1962374.5022497093,1199822.1616272347,1605559.0460170817,1890824.4940375378
