Compound,n101.cdf.csv,n102.cdf.csv,n104.cdf.csv,n105.CDF.csv,n109.cdf.csv,n111.CDF.csv,n113.cdf.csv,n116.cdf.csv,n117.cdf.csv,n118.cdf.csv,n120.cdf.csv,n121.cdf.csv,n125.cdf.csv,n135.CDF.csv,n14.cdf.csv,n145.cdf.csv,n146.cdf.csv,n151.CDF.csv,n152.CDF.csv,n154.cdf.csv,n160.CDF.csv,n162.cdf.csv,n166.CDF.csv,n168.CDF.csv,n173.CDF.csv,n178.cdf.csv,n183.CDF.csv,n186-2.CDF.csv,n188.CDF.csv,n198.CDF.csv,n199.CDF.csv,n212.CDF.csv,n214.cdf.csv,n216.cdf.csv,n222.CDF.csv,n224.CDF.csv,n229.CDF.csv,n268.cdf.csv,n269.CDF.csv,n270.CDF.csv,n274.cdf.csv,n279.CDF.csv,n31.cdf.csv,n34.cdf.csv,n41.cdf.csv,n49.cdf.csv,n50.cdf.csv,n54.cdf.csv,n55.cdf.csv,n6.cdf.csv,n64.cdf.csv,n67.cdf.csv,n72.cdf.csv,n74.cdf.csv,n80.cdf.csv,n81.cdf.csv,n84.CDF.csv,n86.cdf.csv,n9.cdf.csv,n92.cdf.csv,n97.cdf.csv,x100.cdf.csv,x105.CDF.csv,x106.CDF.csv,x111.CDF.csv,x128-2.CDF.csv,x13.CDF.csv,x133.cdf.csv,x137.CDF.csv,x138.CDF.csv,x14.cdf.csv,x142.CDF.csv,x143.CDF.csv,x146.cdf.csv,x148.CDF.csv,x15.cdf.csv,x150.cdf.csv,x152.cdf.csv,x153.CDF.csv,x157.cdf.csv,x159.CDF.csv,x17.CDF.csv,x171.cdf.csv,x175.cdf.csv,x177.CDF.csv,x18.CDF.csv,x185.cdf.csv,x186.cdf.csv,x187.cdf.csv,x188.CDF.csv,x189.CDF.csv,x190.CDF.csv,x194.cdf.csv,x195.cdf.csv,x196.cdf.csv,x20.CDF.csv,x21.CDF.csv,x210.CDF.csv,x222.cdf.csv,x226.cdf.csv,x227.cdf.csv,x26.cdf.csv,x27.cdf.csv,x35.cdf.csv,x36.CDF.csv,x38.CDF.csv,x40.CDF.csv,x41.cdf.csv,x43.CDF.csv,x44.CDF.csv,x45.CDF.csv,x47.cdf.csv,x49.CDF.csv,x56.CDF.csv,x57.cdf.csv,x59.cdf.csv,x60.cdf.csv,x67.cdf.csv,x68.CDF.csv,x71.cdf.csv,x73.CDF.csv,x82.cdf.csv,x84.cdf.csv,x85.CDF.csv,x86.cdf.csv,x88.cdf.csv,x89.cdf.csv,x90.cdf.csv,x91.CDF.csv,x92.CDF.csv,x93.cdf.csv,x95.cdf.csv,x96.cdf.csv,x97.cdf.csv,x98.CDF.csv,x99.CDF.csv
Allonic acid,868752.8805,663217.1855,865368.5496,744810.3533,697221.113,733632.1563,645524.97,1196565.66,729560.7824,680949.4586,644913.2874,958200.9484,804819.597,709741.8885,1121516.171,566798.6669,573212.4235,487129.5246,454613.0021,826240.606,590780.7746,1021636.353,752440.5345,789281.6215,593859.3845,822907.0962,569218.8913,750697.8794,810519.9524,529061.7685,648083.7165,694992.784,831402.4694,799897.3723,636767.4689,703489.1397,791260.1974,701875.6742,554542.1816,796695.1264,486390.6415,702298.4218,932880.6677,888531.8293,611729.6326,636607.3132,607888.5568,534021.9009,643120.471,497003.9643,629479.6848,629257.4703,622790.9104,707634.2476,567465.8946,657574.7364,868160.6186,811113.0271,970362.9346,1237266.049,954018.4985,508723.7294,481634.7599,402760.4832,491937.612,486437.3985,427752.8808,951144.0304,451956.1504,459393.0141,593920.5957,1444396.752,535793.2665,470282.3515,956012.0375,659208.0326,252157.4975,470548.5009,467375.7657,573499.6969,440017.355,443599.8333,780543.9887,605214.2956,850148.2797,753833.8783,1547875.206,486924.2261,1005684.284,591943.5235,573454.865,560005.1342,700420.953,698897.2155,551674.2172,329727.4807,627184.5052,648376.574,547647.4261,559524.0139,1351966.353,582592.3556,459690.9388,565852.5951,539209.7047,609361.7604,653405.9586,355141.9743,334195.2278,395591.2779,534092.8295,245786.8793,667766.0134,626982.6001,2170309.626,467675.1854,424459.548,409981.4023,498133.1618,585055.0669,566107.9212,355440.5957,475708.3222,599253.079,1729018.892,618790.6728,589529.6816,537974.7644,753433.693,609097.1459,616018.3121,543978.8188,614539.1604,448706.7313,581817.3627,847227.0872
Aminomalonic acid,676896.0786,773056.8847,683412.9883,597326.1222,492964.7329,523273.3252,631833.1998,458885.7919,416917.3102,501733.9339,510029.7434,671958.5263,597371.5489,609035.9841,158416.02,595618.0469,575127.4515,735190.4157,512060.9566,481726.0558,583213.3821,545448.9913,560313.6718,597157.0224,700229.8934,438333.6242,613492.0312,621380.6505,429813.3661,508847.4708,403304.1144,545888.1386,709441.4759,899519.1279,845281.0092,425627.421,571430.1721,912121.2794,535239.5981,1330674.933,736392.5138,752002.3813,365082.18,795392.705,467459.032,601556.0028,802132.9763,588255.381,622100.0082,796051.0493,620353.2802,808020.2539,727605.9064,736084.4447,526587.9181,747913.036,598491.4372,570482.4202,839589.8567,363607.8934,499637.8799,555543.9368,537960.336,354582.4676,629848.8375,509465.6751,609109.6513,409067.45,442142.6842,599773.4592,420961.945,398957.1581,361940.7599,606508.7679,399863.9184,587149.3088,398212.4828,659945.5698,458128.4138,460675.5005,242557.8749,626480.999,474601.9241,837621.4444,194884.8739,553139.3395,534458.9757,581517.9826,503152.9903,485647.432,661726.2264,1416571.489,570390.9042,505282.0566,664205.882,611583.7305,552679.0226,307528.6449,716148.0785,465540.2749,577576.3576,529070.6929,931743.7418,469978.16,400186.6716,363691.4385,752927.0175,333586.129,428084.9682,489800.0386,625899.9503,460814.0203,666711.347,498988.2461,612266.1788,509289.9886,134451.1759,288015.8868,528673.6607,734178.6772,509228.044,466776.4752,559379.1585,979481.5689,469357.4004,571474.8374,587851.9632,718389.4032,724274.0523,699065.4157,359934.1464,661119.7347,472080.5602,534170.5825,441303.7147,316609.137
Tyrosine,939686.9624,801457.1195,1013161.073,1008750.253,679734.091,845911.5636,898601.8418,894503.9634,1431832.105,877214.5483,1024204.625,1255357.1,1152111.307,874176.6974,1267903.931,717474.0564,1049865.148,972506.78,1077258.034,1081160.284,1318501.797,961520.7905,901341.3017,725216.6267,775322.9364,679588.7888,919733.9226,911539.2908,1005963.391,1046829.799,960621.0789,691940.5568,790358.6091,632033.0327,789005.2098,959605.2899,979719.0876,812789.6899,725814.6947,1018662.315,858080.524,838892.0844,847531.075,636414.4775,928115.1785,1140607.253,1022005.243,1059890.487,904776.5786,932458.4023,826293.0081,934583.4861,943741.4905,1016529.002,1106493.071,1285011.459,1251833.276,1502822.251,1367484.268,1294592.765,1285128.189,910130.6028,835954.7974,735665.9863,820061.2942,792181.0532,878003.1737,1597544.086,940326.4036,780968.1729,910447.4846,1157062.897,889739.7419,674113.4834,1124031.48,859626.0996,810806.3419,889603.6182,853845.482,933804.9995,686226.5672,1062591.444,951374.1956,682561.619,1201468.17,846120.2212,1286724.446,733922.4652,1200722.825,789073.9464,960809.6419,668929.5362,1097825.575,1053553.924,829145.3509,1201337.692,946664.52,780784.9968,662735.2672,841524.8501,1107973.541,699725.0106,1113294.626,637510.6422,918449.7242,686776.1504,1199940.612,609267.713,1008210.557,940817.521,712049.2432,464864.2587,936653.7753,830732.2752,844654.3102,800880.254,1205399.088,851383.4088,998258.2239,918590.1112,1096847.459,487639.5052,1572434.215,1089211.002,977566.6966,726014.7785,885655.1489,725292.8816,1064558.715,1043320.213,1084555.967,937323.2172,1135036.928,1077190.507,932207.204,1458045.57
Glyceric acid,935302.8607,935836.3652,940259.5062,811252.9404,762709.9855,515748.2811,925386.326,948851.2033,909054.1755,893370.545,652470.4141,692335.3132,875195.0471,960433.9546,770298.622,836866.7088,956754.962,700983.9118,711819.4061,781937.7707,962376.1808,704674.0782,742577.7707,676545.0687,906023.5743,949523.6565,864903.4075,856221.0202,1015309.274,600727.9655,991157.1414,633549.4222,845947.987,797045.5132,938822.5001,959777.9024,1108387.568,737934.0218,539624.3702,661678.8902,690423.7824,816808.7684,909864.8639,713666.4886,721867.6806,816850.9058,775256.3453,829472.0995,761108.3661,807110.7264,808586.925,789087.5253,732476.9401,729546.7926,753603.2481,856514.3886,965717.2086,846131.0018,744920.5219,854563.5822,782508.4432,877931.8621,578965.732,765130.7142,678698.9988,595490.9758,751574.8171,800991.1709,894441.4474,555102.5415,885973.2539,627599.5784,616576.1335,792744.7752,855343.7593,711186.3773,671649.2293,748701.6883,695822.0911,702472.649,599026.6783,647340.378,698082.6851,693651.3579,635402.6509,744841.4671,622432.3538,768559.5371,888226.3759,779701.8106,775694.8689,522522.7933,1068350.016,770644.298,645776.9166,826197.7899,625390.5725,775783.1473,815406.3163,595637.3394,751536.1049,653364.2513,746877.8598,692648.8988,610521.8037,749791.6582,802237.0094,594669.7693,505324.6119,718661.9452,495621.2224,335227.3417,699133.0192,797756.971,657539.1732,679540.264,710365.4026,691608.4903,526931.0622,756976.623,664296.9698,525534.1172,842573.174,710492.0771,672114.4256,598110.0686,813654.8581,637660.7134,779371.8352,967315.2452,883543.5098,840739.284,979163.5725,805597.9208,609503.2882,632310.7059
Citrulline,1095632.831,936918.0031,1352031.009,1354126.097,945959.5925,1381497.653,938222.8749,1361398.243,1251223.923,1318970.232,1488333.035,1415679.622,1230731.489,1374083,1407444.941,908678.4159,1424612.261,1289486.984,1346357.054,1227985.224,1053859.442,965810.8718,1761445.469,1109370.894,1421214.169,1234923.735,1259836.415,550369.8638,1055931.949,1370346.893,1475225.186,1067458.089,924878.551,607449.3152,1094968.921,1295005.168,1018302.632,804572.2184,840771.8548,495267.1018,831382.72,1115552.439,1031436.684,565931.1243,895017.8399,1083638.445,1151183.608,892098.9051,1104624.737,814037.9116,1307095.837,1107891.793,827729.229,1068972,968357.1065,1055891.63,1550009.478,1917023.738,1491051.988,1106802.204,963722.4141,1415816.384,1006790.172,1145718.787,1403925.504,799697.2555,1123699.756,1297859.965,1171827.189,1324983.675,781252.4479,934919.646,1182286.196,650977.9635,1544909.925,827321.004,517985.3892,1391901.238,1614331.271,1365475.415,251719.1796,1136569.794,1234533.511,450903.7192,1351514.982,908105.9972,1246023.565,842388.4665,797525.614,1170526.469,606949.1905,400705.5229,957244.8816,897648.2474,1280550.68,1158293.252,1163023.511,930540.2327,2886343.101,505974.8564,1174274.322,554836.2014,899221.0506,700452.1458,1142048.89,1910663.705,1362677.995,916306.0691,929318.7023,1628799.487,1095364.352,374859.0466,1089716.738,976402.2731,826141.4333,918800.8866,889178.6747,1159273.402,1100382.967,1462519.394,592287.6636,481661.5718,1631912.206,620975.3819,1352946.588,797821.7063,768151.9824,649305.8973,1087714.505,1118748.439,1483058.395,1089867.08,1532095.718,815032.953,1129388.795,1668477.402
Glutamate,822770.6002,936918.0031,834376.8662,1087914.637,899226.9273,1199534.441,759290.4847,1399687.044,1425400.221,1160882.497,1104123.539,2064653.581,835675.1206,1139293.033,751319.7553,1117651.798,1384903.055,1182326.626,1546296.454,758716.3891,1080248.811,1932476.581,759250.7436,692875.9399,832458.5509,700206.8762,780030.5286,614367.1857,1151254.038,1278026.42,1243037.16,585999.3835,1002370.532,581306.2286,1037047.842,1331804.253,1109217.484,791042.7864,784844.993,831020.5344,756925.8315,799216.2365,896673.8,571562.4049,766106.6724,1018944.558,1333588.753,1100057.53,968339.2038,927950.0737,942644.982,907340.9536,993485.4193,1042827.903,1207147.988,948846.8047,887342.4771,1742015.749,881079.3105,1188756.469,1327803.305,872703.1181,686365.8669,615623.1898,969743.1076,922426.9529,752500.8106,1422455.815,1043267.453,730072.2369,994434.3384,1206139.303,1342764.476,644161.172,1272623.517,748509.5003,919425.1709,721323.4705,839565.2121,1357080.85,832000.2061,1082910.569,612143.3075,1184066.38,533011.3252,908105.9972,942572.5313,760736.3517,797525.614,988456.2729,728182.7948,1136316.263,1432915.667,670653.6129,1579231.844,756178.36,693222.2064,846566.6598,968386.1019,661026.0568,1378854.75,710530.4648,1256566.509,688134.2266,858223.3758,893720.2409,815485.4598,575367.8383,976378.5988,1119764.507,740699.6643,374859.0466,1307016.822,739053.6969,694887.3279,677698.6062,907455.5039,1116036.827,746017.3656,676101.4063,876246.3832,371657.2262,945783.7408,620975.3819,1219914.856,540962.8686,651314.6095,597915.8321,643283.543,775198.4651,825081.4049,17777.66625,923820.3334,641071.3266,683180.0223,787111.6645
Fumarate,915982.0227,989881.6165,419835.2591,18532.81653,835286.6081,525047.7727,934532.6132,419848.5272,756903.3082,714320.3044,852144.3166,381320.5337,1021897.779,2144646.527,723817.4245,965597.0166,829808.5537,424199.452,629686.2155,488719.1243,902440.2992,575698.6221,722737.2637,760448.7887,732451.4995,1994608.447,692352.9445,911222.298,673169.2029,619195.055,926008.0577,509949.9694,764767.0878,298493.0728,686691.8689,645678.216,734341.2179,673136.4182,671253.525,642437.4264,711464.8844,715795.3937,729919.6594,531674.9716,825636.564,883815.5066,805228.7901,824546.4799,774608.4772,520505.9559,1742816.039,766208.9085,716450.2278,728779.921,780884.1121,2178098.456,444082.7834,493908.7636,1001520.191,1119204.627,836778.5623,773229.8001,764079.0324,568635.8734,684995.576,617948.1916,739182.9224,779302.3271,689966.509,752462.3362,1057936.126,865864.0147,619145.8717,698136.8241,823868.1373,727144.4529,743049.0729,1132270.408,625136.5074,715974.2381,509303.3977,877096.4316,765001.8741,632987.6651,702267.3362,242913.4235,857565.1412,370223.0949,520404.5731,701190.628,894593.6452,502768.6477,448260.2828,853436.8589,978246.3599,849139.5621,741943.1018,1172917.188,485229.786,666060.1991,722386.4802,682791.1775,794718.4886,208855.8022,554267.0299,522735.5613,702591.1441,900937.4852,663123.9115,656916.8767,525134.4708,222541.7108,637896.663,723762.8335,688075.8822,786533.6871,889943.9933,750999.4837,430867.2914,967787.2279,939034.7335,537219.8279,1743013.642,862343.4929,1012771.096,745385.5998,859542.4792,620701.4371,843145.4789,857533.5196,1137345.841,784695.0218,772170.7032,1025756.777,690874.0146,706985.3832
Galactose,1130746.132,1020240.526,949127.2324,983075.8313,891810.6099,1028923.592,1030928.353,1109067.413,1030223.423,849419.1922,788576.6244,901675.1086,1133117.55,756421.1491,814825.589,273565.1836,882683.3974,612117.5396,634334.7555,941766.7582,919579.2362,1240177.646,880225.4675,1089258.442,891805.317,1161067.547,1007146.366,745858.6308,989645.2427,657200.577,684373.0036,735574.0752,977508.8005,995446.3942,807855.3917,1129790.263,677681.7362,874039.6442,749873.9674,844276.6982,678225.6748,922995.997,928136.8862,817675.1697,877482.4016,880914.2838,790624.6169,1053254.461,942450.989,601016.3217,819500.9541,935448.3434,801230.9804,1058111.998,712056.7375,914834.2422,999624.3161,1260114.88,701691.059,1204118.526,1236650.295,854440.257,292811.1741,766062.6013,797157.9967,875843.5917,590527.0816,1025516.161,790033.8639,593273.1851,965730.3766,1859080.907,1071661.226,665888.3616,1154808.287,1038995.445,563423.3649,1058395.855,670100.5484,886684.2795,1007943.047,645083.7331,1114617.181,1572463.335,886809.5016,810428.1714,2639077.614,792461.4176,1077026.914,783988.0978,697131.6279,694351.7528,1118651.633,1141930.08,1030249.131,538436.9415,876860.9597,1315410.345,862622.8911,696892.7411,1679283.762,790610.6305,562229.5922,759896.7408,767761.433,802573.1222,759672.2629,850699.7923,561736.5083,648109.0677,689697.6499,381756.8032,724629.1408,848706.4739,2806207.585,757356.1586,687403.4425,768577.3955,706394.0673,822142.1115,851956.7715,35296437.81,922206.4046,883363.6679,2140561.775,898215.123,856781.6933,652288.3427,864165.2923,635848.3448,858771.1472,691934.5049,953821.7689,713174.722,682080.449,840485.3386
Phenylalanine,1172251.977,1036471.066,1149843.577,1194079.941,852320.3267,989847.2535,1013048.5,1271314.665,1347406.834,992665.8567,1192326.63,1243026.293,1249820.37,1010307.104,1343300.999,982834.7547,1040855.614,1136425.702,1318710.183,1194235.488,1019613.919,934215.9522,1062902.761,1006475.042,898499.419,1044690.611,1157150.602,876218.0527,1095636.891,987769.7525,1138963.852,794560.9226,872850.7408,803607.8316,949989.3352,1200975.353,1014868.264,1019479.317,821767.9124,1059327.443,1126670.25,911965.5846,1031020.818,761774.3464,1105700.318,1221520.685,1428104.834,1026719.067,952355.012,1005418.676,1045170.626,1050060.799,996045.3819,1143236.399,1194222.745,1170563.827,1163284.118,1552300.657,1272167.865,1233985.472,1193687.352,1052290.068,1064735.481,934830.2239,986619.3433,887410.2338,920092.8763,1522718.651,1103176.701,997938.7651,1088885.568,1152121.433,1117439.03,881362.9342,1322200.759,1003045.902,1130944.134,1291439.444,1070000.16,1021911.672,750586.0876,1336900.937,1203027.778,903953.5026,1266500.597,982972.328,1316735.451,906798.6708,1328905.737,957316.0267,1014231.153,677145.379,1160795.54,1154685.184,1180730.337,1254638.38,1117158.661,1136444.281,878455.0813,813499.8305,1097926.146,872981.5342,1122994.769,779494.1075,1053734.281,871679.8,1212749.067,861699.358,1023298.067,1198563.512,845829.9785,653366.6042,1169152.459,973330.9102,1125734.087,849913.1949,1176645.633,1045549.619,1034949.376,1047840.075,1009983.835,805088.7454,1269063.392,995535.1828,1206593.323,848404.3605,895477.6828,775971.9856,1110371.92,1214257.007,1247536.343,1260148.246,1201623.006,1214276.85,1071014.43,1323772.441
"2,3,4-Trihydroxybutyric acid",948269.0079,1058928.256,643541.6942,726786.7117,768345.7129,644444.7855,760879.0254,218112.2578,911978.3985,790295.9248,800958.9817,728015.2944,1086835.621,952167.0759,1190095.31,756469.9971,552486.267,1211779.169,727476.9381,944679.3837,647228.0521,284669.6757,694197.084,736341.4719,585696.2503,792603.101,682478.5346,520558.0943,881616.6396,757259.2364,1017558.487,652369.4009,1137294.489,842786.6642,846562.7931,550640.9605,615610.889,928909.8108,658488.4845,1034607.423,673256.746,792977.8883,723042.8712,1177033.506,1102138.266,690112.1441,828461.7501,866360.8265,872409.9351,943174.1378,957375.7184,813642.9354,634696.6306,991603.5745,664840.5698,590837.3298,820471.4954,1145179.574,1191784.035,931094.8723,903867.1582,787602.5491,770543.399,786388.4549,686806.3814,950287.7278,221920.5402,736201.2114,327050.9007,792678.8218,1188834.072,481772.3663,753752.0866,870247.0817,598641.7147,710494.2299,467091.3476,878236.7918,761024.8075,575644.5825,748992.7033,832286.5494,326766.0962,907430.4582,922153.4084,963583.1006,611359.2787,926539.5502,681627.6322,241888.7949,668294.0576,254188.396,929455.2975,663918.6529,852674.1998,456168.7672,469354.5362,691373.7369,520870.8013,578693.7729,595150.9219,784348.07,964750.1019,628742.8389,664100.2785,163811.8823,1000821.37,731971.6819,841603.5422,795025.4296,540602.8934,195982.5934,958599.9991,668725.3319,618884.442,604437.3334,627683.7737,917156.1027,561138.9267,738106.0037,1244443.882,601930.4099,915224.1241,996717.5955,527137.976,504195.654,1103928.245,724354.9235,812449.4144,620378.538,1188011.711,693269.6462,606460.4316,869256.4299,862163.6796,765153.9101
Lysine,1202409.606,1131174.407,1359063.859,1531620.012,1180746.472,1183540.825,1113520.72,1853072.174,1677989.848,1420175.352,1269191.216,1672823.256,1758563.156,1760420.034,1240134.747,1429034.034,1234241.935,1747131.044,1435386.682,1081346.746,1271026.832,966508.4894,1597773.439,1023853.873,1457506.848,1439552.14,1808972.535,514012.7965,1129420.222,1755618.755,1613079.158,1210727.721,1207732.616,587546.0514,1106578.582,1346147.961,1174344.905,995548.4167,1057946.984,334600.3843,1005186.848,1164275.555,862813.6291,844751.6241,1079503.446,1541676.492,1386835.906,1340735.405,1370478.796,1115830.875,1736911.021,1489313.051,908553.5505,1470415.803,1160916.204,1458701.8,1494926.526,1969648.197,1871067.116,1174316.88,687200.2556,1796830.969,1252142.942,92375.32684,1645765.213,816368.6151,961013.5498,1814502.72,1626845.543,818883.1366,1186235.781,782824.1722,1510794.368,617341.0362,1748548.164,824394.1838,757675.1023,2471921.666,1450730.763,1589096.337,567267.343,1091758.963,1673137.121,876559.2651,2097887.643,939648.8821,1041635.273,1333129.177,1532942.813,963839.333,732380.148,284801.0713,1296724.212,1361516.207,1417707.985,1228762.753,1459265.939,821024.2192,1236591.452,721702.3976,1238867.029,741430.4978,1034970.666,901657.5992,1102048.693,1037051.313,1618064.136,1312347.372,1059051.773,2098220.751,1192867.348,302477.8714,1482261.361,1284298.908,891984.3824,1370921.057,1416025.46,1353804.99,1424693.825,1577039.338,622245.9582,551688.2825,1916705.66,164825.9828,1480312.843,1065307.331,1002507.87,627345.487,1272807.255,1256197.876,1899839.424,1358872.68,1962374.502,1199822.162,1605559.046,1890824.494
Citrate,1102673.941,1151815.463,804921.8789,598862.6632,952947.1349,0,1157089.356,789318.2879,1060317.02,1284730.694,895257.7152,748467.4413,1057798.667,962334.4277,1294719.572,1141044.473,1268545.655,800697.3797,793694.0689,784204.8027,703873.9297,365375.1795,1184942.248,1160500.215,759581.7547,1361917.503,1073176.264,836756.2346,680535.3052,1098962.026,751002.0768,757366.9057,1117346.057,1261764.406,1237907.006,818072.3894,849809.7962,1146342.226,1269746.142,798462.8829,1353003.031,743140.8397,1058175.754,969680.0253,1261711.511,726919.3255,1119141.77,1147209.306,1024876.838,1181428.559,931402.1428,1150093.323,856748.6268,890462.4525,765700.8831,875239.9697,953830.1798,919118.9311,1295850.141,830631.3806,785600.2099,1025046.882,795678.8469,963786.4047,1047547.736,0,1000114.437,1006305.08,875616.7396,1220433.797,1143251.929,811771.0165,0,895981.627,1548116.598,831911.4212,714540.3694,937464.2018,655385.5698,867425.1348,0,0,1335631.479,1025077.843,1025505.447,1450021.929,467385.5581,860487.4263,756530.3987,482772.0971,630194.0341,545807.1182,542798.2848,765743.6796,0,0,864843.802,905550.2947,1149253.955,525966.0495,816969.9608,1008669.759,734025.1772,1118740.931,541193.8302,582958.2082,730635.69,760403.0001,0,705375.3681,959761.7995,570214.4339,770943.072,1282209.403,836653.4962,1409291.352,1057563.197,732743.6758,815687.9074,1168139.859,793948.5446,1013613.155,1295324.763,1229766.418,884513.167,1063395.75,938734.3911,985448.039,522897.365,659864.4209,1442152.357,766496.9965,1073614.703,653809.3646,901734.2685,1111259.326
Ornithine,1123408.729,1180490.311,845531.3204,254671.2929,960804.2708,1180343.804,1161912.638,727151.6911,1076229.738,1311806.435,804854.6457,646605.4752,1105505.612,958270.5525,1321737.546,1150593.574,1268341.623,450145.8919,801990.6773,780261.9534,1238677.245,847907.8401,1177861.365,1189932.862,1325232.031,1376320.109,1101633.999,716916.4477,529296.4543,1088246.242,783500.3771,795110.1072,1139328.109,1301305.109,544059.3352,490384.6968,980062.9775,1330227.25,962896.3272,1473148.13,527196.1361,276247.3268,1544211.152,1304841.348,877247.5769,1146346.113,1148821.311,1056099.333,1188616.419,640793.8753,1157028.642,899577.7068,529956.1878,733989.4201,640086.7348,965360.1803,1242348.046,707647.9399,429149.8622,838935.5764,1445842.664,1027675.342,1383616.464,987966.7996,1083794.312,1315330.598,1040760.284,1024826.734,914687.721,1091046.282,1155325.087,1074136.284,975456.6485,675522.5565,681207.9526,1193258.744,771628.7032,932801.275,427512.3672,880798.7665,914781.1141,1098342.158,1108621.649,1036997.421,1047245.929,1447358.36,689650.914,925365.0501,783009.1404,908659.9106,868607.6958,1758839.986,724970.2786,838057.575,1362260.084,1073228.632,848804.9968,923741.7044,1160374.036,1159096.581,915689.7072,1080406.754,848230.8263,1162332.145,1345208.743,1458444.438,675991.223,776513.0422,1100499.732,480201.4502,1014461.75,578035.1351,677134.3382,566316.5711,771197.7206,611500.0544,1086866.002,1323799.952,882247.4389,1175809.336,1108715.771,1035321.706,485168.934,1127622.342,751400.7988,1089440.519,910511.5621,989897.4259,722543.9393,652521.5667,1486862.047,769997.6608,1063186.805,478117.1414,940597.1623,1138457.995
Isoleucine,1142675.4,1407683.445,1421557.52,1284228.164,1051519.471,1106763.292,1204554.478,1525449.5,1617353.235,1320472.237,1762291.976,1454232.182,1352903.178,1268984.688,1417775.337,982466.5043,1469599.464,1620897.995,1678632.551,1188399.567,1222546.994,1818774.737,1560478.879,973225.2918,1077452.338,1079750.106,1272655.67,892784.5593,1536373.917,1244061.661,1265890.916,1115626.576,1098270.898,881161.84,1266759.669,1246176.833,1055004.397,954383.6345,1031899.157,1084116,1136157.521,841662.9215,1155168.021,844715.3933,1327000.829,1477482.687,1658569.231,1221922.873,1221784.316,1407997.377,1063965.195,1027785.794,1278097.9,1301861.206,1483395.743,1453997.449,1439721.273,2697947.228,1580999.703,1598591.736,1926385.405,1186568.131,1009466.185,1054440.188,1168136.428,861624.3773,1033908.878,1113384.128,1245820.844,945299.1246,1320256.11,1292477.458,1089537.846,817852.846,1186410.556,1413982.008,1250494.136,2977786.127,905472.3088,1235202.381,1057008.993,1523345.501,1318326.189,1160242.884,1295134.049,1043954.725,1412091.649,993182.4429,1438315.617,1287178.534,1245327.298,938850.1946,1525277.49,1237597.427,1433081.174,1115413.681,989902.7833,1549492.084,953472.3577,925691.1269,1213406.176,977998.0408,1767806.076,869516.8603,1046565.109,981541.6848,1618595.902,923845.7089,1206166.52,1204449.737,756219.5809,628311.1864,1393155.917,849934.4893,1199108.677,977439.6499,1232650.536,1033374.47,1076357.718,1248187.378,1071678.009,633439.5332,1741068.322,805288.0703,1412292.604,1138703.026,928310.3234,980405.1066,1084788.082,1178277.746,1089714.777,1352884.451,1347138.674,1216409.698,1157212.122,1583510.468
¦Â-Hydroxyisobutyric acid,1301239.68,1426151.494,745396.8054,1352557.321,1208143.949,826860.2721,607613.5623,1142948.204,1184948.792,604620.5738,665514.7918,989549.0762,1186761.75,432967.8396,814709.7466,711393.8107,680102.2909,1244336.508,55838.53166,639073.7435,3275025.769,1601279.313,460027.7465,103806.3348,3088721.274,2788518.997,730573.6073,198045.3435,785042.4585,442045.8184,968932.3919,618142.8315,878015.4376,348542.3434,885925.796,949908.267,508985.9205,1746029.87,1125140.914,508205.7624,903353.2746,1186384.638,592998.3812,308043.6203,529047.3597,1099701.06,1194887.136,1049688.731,365038.5276,783130.4614,1000433.618,571391.4485,776485.4008,528403.8953,618886.417,1004045.927,1125069.905,1110596.953,544670.8476,155613.0097,1026376.457,934725.0881,1065003.116,4499108.312,462880.888,422981.491,960820.5542,961053.3801,422521.1649,915682.0921,983500.7105,1378782.736,607114.1921,342284.0531,1358830.126,449562.2237,3603998.543,489394.5043,739429.3652,729422.7119,1540878.029,489044.194,860639.6433,371288.5804,628389.1158,1081449.597,3096789.672,581389.583,1055640.252,449117.7743,1305341.77,608029.266,998584.8956,3231753.028,7364018.096,1330508.529,1130086.154,3630575.758,630303.1167,911367.0764,895225.7124,866039.6706,1389540.177,822353.9051,915773.3357,282239.9713,803797.4791,1558819.9,1063578.122,2011000.692,711470.7781,564472.5318,212540.4943,1140560.508,537921.8278,352689.2609,1001857.562,537869.1804,1569746.564,920398.3971,1284762.767,482692.3144,1199374.454,1228415.172,1015051.236,570286.5744,524456.4761,398083.9815,1211599.807,1016827.263,819004.3587,1195351.616,868372.3658,441202.2549,110646.6342,1080260.288
